[4.17620369 4.20268025 4.31878799 4.30230125]   [1.83149335 1.70858043 1.7122506  1.83189746]
[7.27590826 7.37124834 7.39056754 7.30803375]   [1.10221704 1.06433157 1.1674868  1.17002319]
[7.73126438 7.88319908 7.88550163 7.77658969]   [3.70049751 3.70434364 3.82850792 3.8357194 ]
[8.00990484 7.88363812 7.87460045 8.00718384]   [2.33070866 2.34218949 2.21314316 2.20472441]
[5.61144822 5.44817441 5.43520951 5.56245903]   [0.23523713 0.24398645 0.11298133 0.10258156]
[1.76599116 1.87279708 1.85406995 1.71264668]   [1.2683272  1.32283464 1.4488189  1.42330436]
[7.71316289 7.72235295 7.59852981 7.58467847]   [1.61303027 1.73106613 1.75062762 1.62903348]
[1.60601102 1.71264668 1.58567984 1.56272013]   [1.33057424 1.42330436 1.47994961 1.39563397]
[6.30047785 6.41397037 6.46073958 6.33699623]   [5.75414323 5.73681868 5.85071328 5.86485588]
[1.69983705 1.82089903 1.86659875 1.75228568]   [1.87680672 1.84776234 1.96616806 1.99212298]
[6.79593978 6.68295512 6.62812217 6.70934322]   [5.74245851 5.8022328  5.6890969  5.63840316]
[7.91986804 7.81479979 7.77823101 7.87975677]   [5.58154992 5.56870243 5.49892037 5.44781894]
[6.03027847 6.01275013 5.89328337 5.90821443]   [0.11141204 0.21803545 0.20676913 0.10028177]
[2.00374985 2.1243926  2.18110236 2.05511811]   [0.82175048 0.78224981 0.86960983 0.93525653]
[7.43632507 7.56692449 7.57469536 7.43705957]   [4.60609008 4.60694379 4.73481637 4.7395778 ]
[7.55171735 7.71412797 7.68527489 7.53581024]   [3.97853461 3.98924287 4.15313208 4.11817518]
[0.2586764  0.13550676 0.13144345 0.28742017]   [1.01816752 1.00763815 0.84386378 0.90776658]
[3.14857688 3.27526158 3.27670031 3.14240353]   [0.12979354 0.12943593 0.26627159 0.26220946]
[7.13249228 7.00089999 6.95835393 7.09731351]   [0.25731035 0.28823933 0.15468593 0.11553298]
[7.49494368 7.53581024 7.68527489 7.6471037 ]   [4.24372751 4.11817518 4.15313208 4.32392839]
[0.29488576 0.41475039 0.4350193  0.30587294]   [2.74054281 2.73385397 2.85675446 2.8617395 ]
[1.5798478  1.63758186 1.52360183 1.47110878]   [0.53661699 0.64942387 0.69971237 0.59493154]
[0.78140121 0.67888257 0.63948399 0.74203864]   [2.78098621 2.81286762 2.70173773 2.66978459]
[1.78701478 1.80425519 1.90775945 1.89640919]   [2.26693928 2.17869183 2.18435058 2.2833374 ]
[3.80458308 3.68111586 3.6624077  3.79080009]   [0.23868976 0.24369354 0.12248911 0.11733224]
[7.19838017 7.13385827 7.00787402 7.04240126]   [5.89434523 6.04101727 6.00891424 5.87753987]
[3.93614331 3.81889764 3.89034403 3.99236615]   [0.96494439 0.85902263 0.77499865 0.85140586]
[7.57343821 7.45844797 7.472958   7.5570479 ]   [1.514082   1.52634408 1.41441254 1.42986044]
[7.57788453 7.52444542 7.61155149 7.63547799]   [5.23131552 5.15636341 5.1176315  5.18569665]
[0.13550676 0.2586764  0.26432431 0.15155995]   [1.00763815 1.01816752 1.13200516 1.13160451]
[4.33546979 4.33488261 4.21175283 4.2152768 ]   [0.94682513 1.05860448 1.06152695 0.93384507]
[2.76820917 2.68503937 2.55905512 2.68066533]   [0.80923402 0.90484461 0.8522318  0.73279149]
[7.949015   8.05928562 8.02132405 7.85441235]   [0.75409332 0.81889764 0.94488189 0.88135219]
[4.98215337 4.94932795 5.07248637 5.07878853]   [0.51292389 0.37284321 0.36807271 0.45601751]
[7.65926241 7.72569116 7.82941591 7.70772793]   [4.98228908 4.94214516 4.99859794 5.07741318]
[1.32188681 1.29978187 1.1773757  1.20512912]   [2.84865708 2.96308521 2.93103932 2.81706677]
[3.97323396 4.02956285 3.99236615 3.89034403]   [0.67221261 0.77571501 0.85140586 0.77499865]
[3.90551181 3.91140845 3.79080009 3.77952756]   [0.00036792 0.11453197 0.11733224 0.00072385]
[0.00070628 0.08539218 0.14842153 0.04379392]   [0.59170786 0.57020037 0.63610987 0.7092298 ]
[8.00446285 7.87636342 7.86859003 7.99496826]   [2.07874016 2.08582208 1.96503099 1.9527559 ]
[1.32396736 1.41426779 1.47110878 1.36351641]   [0.54353499 0.50025835 0.59493154 0.64624211]
[4.14646036 4.16228717 4.02936024 4.03614519]   [4.71309402 4.8445587  4.8503937  4.72440945]
