[1826   -1  134 2326]
[2274 2144  203   -1]
[ 130 1825  123   -1]
[1978 2226 1896 1604]
[  -1 1960 2070 1926]
[ 141   -1  439 1725]
[  -1 1954  347   28]
[294 143 174 156]
[  79 1720 2186   60]
[ 921 2059  336 1341]
[ 168  171 2000  153]
[2281 1835 1997 1853]
[209 192 182 102]
[ 976 1243 1345  179]
[1120  170  921 1345]
[1343 1727 1804  645]
[1919 2142 2168 1950]
[174 143 208 303]
[2217 1827   26 1845]
[1788  181 2176   20]
[ 185  102 1642  194]
[1520  483  187  376]
[1642  156  174  194]
[1976    8 1865  234]
[ 407 1922 2028  160]
[1642 1703 1795  156]
[2016  109   92   -1]
[ 128   -1 1188  462]
[ 163 1749  168  153]
[1048   49 2174 1623]
[1782 1449  108   -1]
[2169 2221  183   -1]
[ 483  253 1212  187]
[ 435  159 1568  333]
[ 399 1394 1751  323]
[ 209  165 1785  192]
[102 158 241  60]
[1911   -1  177 2211]
[ 456 2116 1887   -1]
[ 287  209  166 1670]
[ 211 1508 1692 1636]
[1118 1421  167  178]
[1634 1685 1667 1722]
[  -1 1941   47 1013]
[1874 1877 2092   72]
[1533 1717 1712 1399]
[1247  158  181 1785]
[1589  327  602  202]
[ 168 1749 1670  166]
[1247 1785 2154  214]
[ 360  382  110 1046]
[ 439   -1  381 1707]
[215 309 265 240]
[1576 1847  205 1841]
[330  24  83  -1]
[356 422 369 302]
[596 797 212 193]
[2086   -1  147 1985]
[ 802 1061  585 1036]
[206 199 213 296]
[ 205 1792 1820 1841]
[1336 1258 1709  129]
[ 163  234 1879 2103]
[ 185 2176  181  158]
[775 353 725 272]
[1520 1631  186  613]
[1459 1589  202  268]
[296 205 266 214]
[ 219  213  195 1255]
[ 198 1258 1336 1689]
[ 113  107 2118 1175]
[1907  122 2173 2271]
[1829 2044 1921 2295]
[ 269 1781  296  214]
[1377 1976  143  294]
[1153   -1  108 2342]
[614 379 274 252]
[236 238 457 434]
[  94   75 2020 1812]
[  -1   80 1461  389]
[ 231  984  261 1213]
[ 356 1486 1398  354]
[965 930 229 604]
[228 959 230 724]
[229 950 233 603]
[ 237 1169  226 1164]
[233 956 235 582]
[230 955 232 567]
[ 169 2046  208  143]
[232 960 249 697]
[ 527  524 1160  223]
[1181 1179  231  527]
[1160  270 1230  223]
[1714 1485  472 1864]
[1861 1258  198  265]
[1708  182 1247  266]
[ 262  247  641 1477]
[370 128 462  54]
[993 331 279  -1]
[ 924   -1   92 2037]
[ 538  661 1346  675]
[ 257  242  927 1452]
[887 775 272 251]
[ 235 1289  271  624]
[1751 2075 1295   56]
[ 261  984  248 1105]
[1025 1044  255  222]
[476 404 273 178]
[1924   -1 1723 1981]
[252 939 365 792]
[1205  958  931  499]
[247 289 694 641]
[  38 1709 1258 1861]
[ 278 2040 1455  260]
[ 259 1455 1399 1145]
[1176 1246  226  251]
[242 346 375 927]
[1378  949 1382 1522]
[464 318 281 265]
[ 264 2220  240  198]
[ 213 1847  241 1247]
[ 999 1877 1019   -1]
[ 752  212  797 1090]
